location_id,grid_reference,altitude,slope,discharge_category,dist_from_source,chemistry_site,boulders_cobbles,pebbles_gravel,sand,silt_clay,mean_depth,river_width,total,alkalinity,alk_samples,predictor_source,date,original_grid_reference
477235,NT 76537 69013,NA,NA,NA,NA,477235,36.25,55.25,4,4.5,9.5,2.9,100,NA,NA,sampling_point,2019-01-09,NT 76537 69013
477235,NX 45375 37613,NA,NA,NA,NA,477235,36.25,55.25,4,4.5,9.5,2.9,100,NA,NA,sampling_point,2024-10-05,NX 45375 37613
477606,NX 99494 81095,NA,NA,NA,NA,477606,56.66666667,28.33333333,9.333333333,5.666666667,18,2.5,100,NA,NA,sampling_point,2019-01-09,NX 99494 81095
477606,NT 76537 69013,NA,NA,NA,NA,477606,56.66666667,28.33333333,9.333333333,5.666666667,18,2.5,100,NA,NA,sampling_point,2024-10-05,NT 76537 69013
477607,NT 79394 70603,8,4,1,8,477607,75,19.5,4.166666667,1.333333333,26.66666667,5.083333333,100,78.2,1,sampling_point,2019-01-09,NT 79394 70603
477608,NT 79381 66908,115,14.7,1,3.7,477607,70,13.33333333,10.83333333,5.833333333,26.33333333,1.383333333,100,78.2,1,sampling_point,2019-01-09,NT 79381 66908
477610,NT 76230 66012,195,16.5,1,6.3,9424,56.66666667,30.83333333,9.166666667,3.333333333,20.83333333,3.25,100,89.94468085,188,sampling_point,2019-01-09,NT 76230 66012
477611,NT 87581 65287,120,9.8,1,6.3,9442,70.83333333,21.33333333,6,1.833333333,16.66666667,3.75,100,122.1541667,72,sampling_point,2019-01-09,NT 87581 65287
477614,NY 00123 82347,NA,NA,NA,NA,477614,60,36,2,2,18,3,100,128.3548387,31,sampling_point,2019-01-09,NY 00123 82347
477614,NX 99494 81095,NA,NA,NA,NA,477614,60,36,2,2,18,3,100,128.3548387,31,sampling_point,2024-10-05,NX 99494 81095
477615,NY 00297 83128,NA,NA,NA,NA,477615,60,35.5,3.5,1,13,3.75,100,NA,NA,sampling_point,2019-01-09,NY 00297 83128
477615,NY 00123 82347,NA,NA,NA,NA,477615,60,35.5,3.5,1,13,3.75,100,NA,NA,sampling_point,2024-10-05,NY 00123 82347
477616,NY 00252 83197,NA,NA,NA,NA,477616,65,31,3,1,12,4.5,100,NA,NA,sampling_point,2019-01-09,NY 00252 83197
477616,NY 00297 83128,NA,NA,NA,NA,477616,65,31,3,1,12,4.5,100,NA,NA,sampling_point,2024-10-05,NY 00297 83128
477617,NY 00235 83325,NA,NA,NA,NA,477617,70,27,0,3,16,0.5,100,NA,NA,sampling_point,2019-01-09,NY 00235 83325
477617,NY 00252 83197,NA,NA,NA,NA,477617,70,27,0,3,16,0.5,100,NA,NA,sampling_point,2024-10-05,NY 00252 83197
477618,NY 00234 83744,NA,NA,NA,NA,477618,60,25,5,10,12,1,100,NA,NA,sampling_point,2019-01-09,NY 00234 83744
477618,NY 00235 83325,NA,NA,NA,NA,477618,60,25,5,10,12,1,100,NA,NA,sampling_point,2024-10-05,NY 00235 83325
477619,NY 17216 98352,NA,NA,NA,NA,477619,65,30.5,2.5,2,12,0.75,100,NA,NA,sampling_point,2019-01-09,NY 17216 98352
477619,NY 00234 83744,NA,NA,NA,NA,477619,65,30.5,2.5,2,12,0.75,100,NA,NA,sampling_point,2024-10-05,NY 00234 83744
477737,NY 17162 96699,NA,NA,NA,NA,477737,50,42,8,0,15,7,100,NA,NA,sampling_point,2019-01-09,NY 17162 96699
477737,NY 17216 98352,NA,NA,NA,NA,477737,50,42,8,0,15,7,100,NA,NA,sampling_point,2024-10-05,NY 17216 98352
477738,NY 17254 94677,NA,NA,NA,NA,477738,67.5,28.5,3,1,12,3,100,NA,NA,sampling_point,2019-01-09,NY 17254 94677
477738,NY 17162 96699,NA,NA,NA,NA,477738,67.5,28.5,3,1,12,3,100,NA,NA,sampling_point,2024-10-05,NY 17162 96699
477739,NY 00266 83549,NA,NA,NA,NA,477739,61,35,3,1,19,9,100,NA,NA,sampling_point,2019-01-09,NY 00266 83549
477739,NY 17254 94677,NA,NA,NA,NA,477739,61,35,3,1,19,9,100,NA,NA,sampling_point,2024-10-05,NY 17254 94677
477754,NS 72249 78011,NA,NA,NA,NA,477754,65,30,1.5,3.5,14,1,100,NA,NA,sampling_point,2019-01-09,NS 72249 78011
477754,NY 00266 83549,NA,NA,NA,NA,477754,65,30,1.5,3.5,14,1,100,NA,NA,sampling_point,2024-10-05,NY 00266 83549
477995,NS 73301 12121,NA,NA,NA,NA,477995,50,40,5,5,8,2.4,100,NA,NA,sampling_point,2019-01-09,NS 73301 12121
477995,NS 72249 78011,NA,NA,NA,NA,477995,50,40,5,5,8,2.4,100,NA,NA,sampling_point,2024-10-05,NS 72249 78011
477995,NS 72249 78011,57,0.1,1,4.24,121235,50,40,5,5,8,2.4,100,NA,NA,rict_layer,2024-04-10,NS 72249 78011
478133,NS 74430 11715,NA,NA,NA,NA,478133,60,38,0,2,21,14,100,NA,NA,sampling_point,2019-01-09,NS 74430 11715
478133,NS 73301 12121,NA,NA,NA,NA,478133,60,38,0,2,21,14,100,NA,NA,sampling_point,2024-10-05,NS 73301 12121
478134,NS 84028 39348,NA,NA,NA,NA,478134,60,37,1,2,22,19,100,NA,NA,sampling_point,2019-01-09,NS 84028 39348
478134,NS 74430 11715,NA,NA,NA,NA,478134,60,37,1,2,22,19,100,NA,NA,sampling_point,2024-10-05,NS 74430 11715
478167,NH 68934 44440,NA,NA,NA,NA,478167,10,75,5,10,15,1,100,NA,NA,sampling_point,2019-01-09,NH 68934 44440
